ResponseId;Q1.1;Q1.1.1;Q1.1.1_5_TEXT;Q1.2;Q1.3;Q1.4;Q1.4_6_TEXT;Q1.4_7_TEXT;Q1.5;Q1.5_4_TEXT;Q1.6;Q1.6_4_TEXT;Q1.7;Q1.8;Q2.1;Q2.2;Q2.2_11_TEXT;Q2.3;Q2.3_16_TEXT;Q2.3.1;Q2.4;Q2.4_9_TEXT;Q2.5_1;Q2.5_2;Q2.5_3;Q2.5_4;Q2.5_5;Q3.2;Q3.2_13_TEXT;Q3.2.1_5;Q3.2.1_6;Q3.2.1_7;Q3.2.1_8;Q3.2.1_9;Q3.2.1_10;Q3.2.1_11;Q3.2.1_12;Q3.2.1_13;Q3.2.1_13_TEXT;Q3.2.1_14;Q3.2.3;Q3.3_1;Q3.3_2;Q3.3_3;Q3.3_4;Q3.4
Response ID;What is your age range?;How do you describe your gender identity? - Selected Choice;How do you describe your gender identity? - I describe myself differently: - Text;"What is your nationality?

Citizenship e.g. Dutch, Greek, Indonesian, etc.";"What is your ethnicity?

Cultural background e.g. Irish, Korean, Mayan";"How would you describe your race?

Physical traits - Selected Choice";"How would you describe your race?

Physical traits - Multiracial or mixed: - Text";"How would you describe your race?

Physical traits - I describe myself differently: - Text";At which institution are you currently studying? - Selected Choice;At which institution are you currently studying? - Other: - Text;What level of study are you currently in? - Selected Choice;What level of study are you currently in? - Other: - Text;"What is the title of your (current) degree programme?

E.g. Data Science, Psychology, Media & Culture";What is your relationship with Amsterdam?;"When you are travelling alone, how often do you think about your personal safety when you are in public spaces?

E.g. when you're walking, cycling, using public transport";"In which situations do you think about your personal safety most?

Select all that apply - Selected Choice";"In which situations do you think about your personal safety most?

Select all that apply - Other: - Text";"Do you do anything to manage your safety when you are out in public?

Select all that apply - Selected Choice";"Do you do anything to manage your safety when you are out in public?

Select all that apply - Other: - Text";"Is there anything you’d like to add about how you manage your safety?

Optional";"When you think about what makes you feel safe or unsafe, which of the following play a role for you?

Select all that apply - Selected Choice";"When you think about what makes you feel safe or unsafe, which of the following play a role for you?

Select all that apply - Other: - Text";How much do you agree with the following statements? - a) I feel that safety is mostly about physical threat or danger.;How much do you agree with the following statements? - b) For me, safety also involves feeling in control of my own decisions.;How much do you agree with the following statements? - c) Privacy is an important part of how I think about safety.;How much do you agree with the following statements? - d) Feeling cared for by the people around me contributes to my sense of safety.;How much do you agree with the following statements? - e) Safety is something I think about differently depending on the context.;"Which of the following safety-related tools, apps, or features do you use or have you used? Select all that apply.

Select all that apply - Selected Choice";"Which of the following safety-related tools, apps, or features do you use or have you used? Select all that apply.

Select all that apply - Other: - Text";"Please rank the tools you selected from most useful to least useful.

Most useful = top, least useful = on the bottom. - Live location sharing (e.g., WhatsApp, Google Maps, Find My)";"Please rank the tools you selected from most useful to least useful.

Most useful = top, least useful = on the bottom. - Texting someone when I get home";"Please rank the tools you selected from most useful to least useful.

Most useful = top, least useful = on the bottom. - Emergency SOS feature on my phone";"Please rank the tools you selected from most useful to least useful.

Most useful = top, least useful = on the bottom. - A dedicated safety app (e.g., bSafe, Noonlight, Citizen)";"Please rank the tools you selected from most useful to least useful.

Most useful = top, least useful = on the bottom. - Ride-sharing trip tracking (e.g., sharing Uber/Bolt trip with a contact)";"Please rank the tools you selected from most useful to least useful.

Most useful = top, least useful = on the bottom. - Group chats for checking in with friends";"Please rank the tools you selected from most useful to least useful.

Most useful = top, least useful = on the bottom. - Fake call apps";"Please rank the tools you selected from most useful to least useful.

Most useful = top, least useful = on the bottom. - Voice/video calling someone while walking";"Please rank the tools you selected from most useful to least useful.

Most useful = top, least useful = on the bottom. - Other:";"Please rank the tools you selected from most useful to least useful.

Most useful = top, least useful = on the bottom. - Other: - Text";"Please rank the tools you selected from most useful to least useful.

Most useful = top, least useful = on the bottom. - I don’t use any of these";Is there a reason you don’t use safety-related tools or stopped using them?;How much do you agree with the following statements? - a) Technology can make me feel safer in public spaces.;How much do you agree with the following statements? - b) Some safety technologies feel more like surveillance than protection.;How much do you agree with the following statements? - c) Existing safety apps and tools are designed with people like me in mind.;How much do you agree with the following statements? - d) I would be open to using a safety tool that works differently from what currently exists.;"Is there anything you wish a safety-related tool or app could do that current ones don’t?

Optional"
"{""ImportId"":""_recordId""}";"{""ImportId"":""QID4""}";"{""ImportId"":""QID37""}";"{""ImportId"":""QID37_5_TEXT""}";"{""ImportId"":""QID7_TEXT""}";"{""ImportId"":""QID8_TEXT""}";"{""ImportId"":""QID9""}";"{""ImportId"":""QID9_6_TEXT""}";"{""ImportId"":""QID9_7_TEXT""}";"{""ImportId"":""QID10""}";"{""ImportId"":""QID10_4_TEXT""}";"{""ImportId"":""QID11""}";"{""ImportId"":""QID11_4_TEXT""}";"{""ImportId"":""QID12_TEXT""}";"{""ImportId"":""QID13""}";"{""ImportId"":""QID15""}";"{""ImportId"":""QID16""}";"{""ImportId"":""QID16_11_TEXT""}";"{""ImportId"":""QID17""}";"{""ImportId"":""QID17_16_TEXT""}";"{""ImportId"":""QID38_TEXT""}";"{""ImportId"":""QID18""}";"{""ImportId"":""QID18_9_TEXT""}";"{""ImportId"":""QID19_1""}";"{""ImportId"":""QID19_2""}";"{""ImportId"":""QID19_3""}";"{""ImportId"":""QID19_4""}";"{""ImportId"":""QID19_5""}";"{""ImportId"":""QID22""}";"{""ImportId"":""QID22_13_TEXT""}";"{""ImportId"":""QID24_1""}";"{""ImportId"":""QID24_2""}";"{""ImportId"":""QID24_3""}";"{""ImportId"":""QID24_4""}";"{""ImportId"":""QID24_5""}";"{""ImportId"":""QID24_6""}";"{""ImportId"":""QID24_7""}";"{""ImportId"":""QID24_8""}";"{""ImportId"":""QID24_9""}";"{""ImportId"":""QID24_x13_TEXT""}";"{""ImportId"":""QID24_10""}";"{""ImportId"":""QID29_TEXT""}";"{""ImportId"":""QID25_1""}";"{""ImportId"":""QID25_2""}";"{""ImportId"":""QID25_3""}";"{""ImportId"":""QID25_4""}";"{""ImportId"":""QID30_TEXT""}"
R_23EEKuC3SiTyQgd;22–25;Woman;;Polish;Polish;White or of European descent;;;University of Amsterdam (UvA);;Master’s;;Information Studies: Data Science ;I moved to Amsterdam less than 1 year ago;Often, it’s usually somewhere in the back of my mind;Walking alone at night,Using public transport late at night,Walking through quiet or poorly lit areas,Being in crowded spaces (festivals, nightlife, public events),Cycling alone, especially after dark,Waiting alone at a bus/tram/metro stop,Being followed or feeling watched,Coming home alone late at night;;Choosing specific routes (e.g., busier streets, well-lit paths),Sharing my live location with someone,Calling or pretending to call someone while walking,Taking headphones out to be more aware of surroundings,Bringing an extra layer or jacket to cover up,Avoiding eye contact with strangers,Carrying keys or another object in my hand;;;The physical environment (lighting, open spaces, crowdedness),Being alone versus being with others,Having access to my phone,Feeling watched or monitored;;Strongly agree;Agree;Agree;Agree;Agree;Live location sharing (e.g., WhatsApp, Google Maps, Find My),Texting someone when I get home,Voice/video calling someone while walking;;1;3;;;;;;2;;;;;Strongly disagree;Neutral;Neutral;Agree;
R_2txNlVUhGVvQmNI;22–25;Woman;;Dutch;Dutch;White or of European descent;;;University of Amsterdam (UvA);;Master’s;;History;I grew up in Amsterdam (but was not born here);Often, it’s usually somewhere in the back of my mind;Walking alone at night,Using public transport late at night,Walking through quiet or poorly lit areas,Cycling alone, especially after dark,Waiting alone at a bus/tram/metro stop,Walking past groups of people,Being followed or feeling watched;;Avoiding going out alone at certain times (e.g., late at night),Walking or cycling faster to get home sooner,Sharing my live location with someone,Texting someone when I leave and/or when I get home,Bringing an extra layer or jacket to cover up,Avoiding eye contact with strangers,Planning to travel with a friend or group;;;The presence or absence of other people,The time of day (e.g., night vs. rush hour),Being alone versus being with others;;Strongly agree;Agree;Agree;Neutral;Agree;Live location sharing (e.g., WhatsApp, Google Maps, Find My),Texting someone when I get home,Ride-sharing trip tracking (e.g., sharing Uber/Bolt trip with a contact),Voice/video calling someone while walking;;1;3;;;4;;;2;;;;;Neutral;Agree;Neutral;Strongly agree;I’d like for a location-share thing to automatically send a notification when someone gets home
R_2gvvzKXwBHHrKoF;22–25;Cisgender woman;;Polish;Polish;White or of European descent;;;University of Amsterdam (UvA);;Master’s;;Information Systems ;I moved to Amsterdam less than 1 year ago;Often, it’s usually somewhere in the back of my mind;Walking alone at night,Using public transport late at night,Walking through quiet or poorly lit areas,Cycling alone, especially after dark,Waiting alone at a bus/tram/metro stop,Walking past groups of people,Being in unfamiliar neighbourhoods,Being followed or feeling watched,Coming home alone late at night;;Choosing specific routes (e.g., busier streets, well-lit paths),Walking or cycling faster to get home sooner,Sharing my live location with someone,Texting someone when I leave and/or when I get home,Calling or pretending to call someone while walking,Taking headphones out to be more aware of surroundings,Avoiding eye contact with strangers,Planning to travel with a friend or group;;If i feel unsafe when taking public transport I will start with texting someone and describing the situation to them so when I call they are already prepared that i might be calling for help;The physical environment (lighting, open spaces, crowdedness),The presence or absence of other people,The time of day (e.g., night vs. rush hour),Being alone versus being with others,Having access to my phone,Knowing someone knows where I am,Previous experiences in a place;;Neutral;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Live location sharing (e.g., WhatsApp, Google Maps, Find My),Texting someone when I get home,Ride-sharing trip tracking (e.g., sharing Uber/Bolt trip with a contact),Group chats for checking in with friends,Voice/video calling someone while walking;;2;4;;;5;3;;1;;;;;Neutral;Agree;Neutral;Agree;Im not sure 
R_8D6i3p3dTcNSO2J;18–21;Cisgender woman;;Dutch;Dutch - Surinamese ;Multiracial or mixed:;;;University of Amsterdam (UvA);;Bachelor’s;;History;I was born and raised in Amsterdam;Often, it’s usually somewhere in the back of my mind;Walking alone at night,Using public transport late at night,Walking through quiet or poorly lit areas,Being in crowded spaces (festivals, nightlife, public events),Waiting alone at a bus/tram/metro stop,Walking past groups of people,Being in unfamiliar neighbourhoods,Being followed or feeling watched;;Choosing specific routes (e.g., busier streets, well-lit paths),Sharing my live location with someone,Texting someone when I leave and/or when I get home,Wearing headphones (to feel less approachable or to stay alert),Taking headphones out to be more aware of surroundings,Changing clothes or appearance before going out,Carrying keys or another object in my hand;;;The physical environment (lighting, open spaces, crowdedness),The time of day (e.g., night vs. rush hour),Being alone versus being with others,Having access to my phone,Knowing someone knows where I am;;Strongly disagree;Strongly agree;Neutral;Strongly agree;Neutral;Live location sharing (e.g., WhatsApp, Google Maps, Find My),Texting someone when I get home;;1;2;;;;;;;;;;;Strongly agree;Agree;Disagree;Neutral;
R_86moMnzT4Jh7BKx;22–25;Woman;;Dutch;Dutch;White or of European descent;;;University of Amsterdam (UvA);;Master’s;;Information Sciencd;I don’t live in Amsterdam but I study here;Often, it’s usually somewhere in the back of my mind;Walking alone at night,Using public transport late at night,Walking through quiet or poorly lit areas,Cycling alone, especially after dark,Waiting alone at a bus/tram/metro stop,Walking past groups of people,Being in unfamiliar neighbourhoods,Being followed or feeling watched,Coming home alone late at night,Other:;Sometimes even using public transport during the day, especially in an almost empty train compartment ;Choosing specific routes (e.g., busier streets, well-lit paths),Avoiding going out alone at certain times (e.g., late at night),Walking or cycling faster to get home sooner,Sharing my live location with someone,Texting someone when I leave and/or when I get home,Calling or pretending to call someone while walking,Wearing headphones (to feel less approachable or to stay alert),Taking headphones out to be more aware of surroundings,Bringing an extra layer or jacket to cover up,Avoiding eye contact with strangers,Carrying keys or another object in my hand;;;The physical environment (lighting, open spaces, crowdedness),The presence or absence of other people,The time of day (e.g., night vs. rush hour),Being alone versus being with others,Having access to my phone,Feeling watched or monitored,Knowing someone knows where I am,Previous experiences in a place;;Agree;Strongly agree;Neutral;Strongly agree;Agree;Live location sharing (e.g., WhatsApp, Google Maps, Find My),Texting someone when I get home,Voice/video calling someone while walking;;2;3;;;;;;1;;;;;Agree;Strongly agree;Neutral;Agree;I think what is often the case with apps is that the burden lies on the people that feel unsafe instead of the environment adapting so people don’t have to feel like that. Because I’m luckily always able to call someone when I feel unsafe and those people always have my location on findmy I don’t think I would easily be inclined to use an app. I would be more interested in better surveillance in public transport etc.
R_8VhXgsB5uDaLFzH;22–25;Cisgender woman;;Italian ;Mediterranean ;White or of European descent;;;University of Amsterdam (UvA);;Master’s;;International and Transnational Criminal Law;I moved to Amsterdam less than 1 year ago;Always, I’m constantly aware of it;Walking alone at night,Using public transport late at night,Walking through quiet or poorly lit areas,Being in crowded spaces (festivals, nightlife, public events),Waiting alone at a bus/tram/metro stop,Walking past groups of people,Being in unfamiliar neighbourhoods,Being followed or feeling watched,Coming home alone late at night;;Choosing specific routes (e.g., busier streets, well-lit paths),Walking or cycling faster to get home sooner,Sharing my live location with someone,Texting someone when I leave and/or when I get home,Calling or pretending to call someone while walking,Wearing headphones (to feel less approachable or to stay alert),Taking headphones out to be more aware of surroundings,Avoiding eye contact with strangers;;;The physical environment (lighting, open spaces, crowdedness),The time of day (e.g., night vs. rush hour),Being alone versus being with others,Feeling watched or monitored;;Agree;Strongly agree;Disagree;Agree;Strongly agree;Live location sharing (e.g., WhatsApp, Google Maps, Find My),Texting someone when I get home,Voice/video calling someone while walking;;2;3;;;;;;1;;;;;Strongly agree;Agree;Agree;Agree;A safety tool entirely run by women who puts in contact women who are alone in different countries to always talk to someone when coming home
R_8CdHNB5gxrBZaxz;22–25;Woman;;Dutch;Mixed Javanese/sranami hindustani;Multiracial or mixed:;;;Amsterdam University of Applied Sciences (HvA);;Bachelor’s;;International Social Work;I don’t live in Amsterdam but I study here;Often, it’s usually somewhere in the back of my mind;Walking alone at night,Using public transport late at night,Walking through quiet or poorly lit areas,Being in crowded spaces (festivals, nightlife, public events),Cycling alone, especially after dark,Waiting alone at a bus/tram/metro stop,Walking past groups of people,Being in unfamiliar neighbourhoods,Being followed or feeling watched,Coming home alone late at night;;Choosing specific routes (e.g., busier streets, well-lit paths),Walking or cycling faster to get home sooner,Sharing my live location with someone,Texting someone when I leave and/or when I get home,Calling or pretending to call someone while walking,Taking headphones out to be more aware of surroundings,Planning to travel with a friend or group;;I try to look as intimidating as possible;The physical environment (lighting, open spaces, crowdedness),The time of day (e.g., night vs. rush hour),Being alone versus being with others,Feeling watched or monitored,Knowing someone knows where I am;;Neutral;Agree;Agree;Agree;Agree;Live location sharing (e.g., WhatsApp, Google Maps, Find My),Texting someone when I get home,Emergency SOS feature on my phone,Voice/video calling someone while walking;;1;3;4;;;;;2;;;;;Agree;Agree;Neutral;Agree;
R_8SziA8JT7Iz1u0N;26–30;Woman;;French and American;French and American;White or of European descent;;;University of Amsterdam (UvA);;Master’s;;Biology;I moved to Amsterdam less than 1 year ago;Sometimes, depending on the time or place;Walking alone at night,Using public transport late at night,Walking through quiet or poorly lit areas,Cycling alone, especially after dark,Waiting alone at a bus/tram/metro stop,Being followed or feeling watched,Coming home alone late at night;;Choosing specific routes (e.g., busier streets, well-lit paths),Avoiding going out alone at certain times (e.g., late at night),Sharing my live location with someone,Calling or pretending to call someone while walking,Wearing headphones (to feel less approachable or to stay alert),Avoiding eye contact with strangers,Carrying keys or another object in my hand;;;The presence or absence of other people,The time of day (e.g., night vs. rush hour),Being alone versus being with others,Having access to my phone,Feeling watched or monitored;;Agree;Agree;Disagree;Agree;Agree;Live location sharing (e.g., WhatsApp, Google Maps, Find My),Voice/video calling someone while walking;;1;;;;;;;2;;;;;Agree;Neutral;Neutral;Neutral;
R_2gmqYwXs3FPhOiB;22–25;Cisgender woman;;Argentine/U.S. Citizen;Argentine;White or of European descent;;;University of Amsterdam (UvA);;Master’s;;Communication Science;I moved to Amsterdam less than 1 year ago;Rarely, only in specific situations;Walking alone at night,Walking through quiet or poorly lit areas,Walking past groups of people,Being followed or feeling watched;;Sharing my live location with someone,Calling or pretending to call someone while walking,Wearing headphones (to feel less approachable or to stay alert);;;The presence or absence of other people,The time of day (e.g., night vs. rush hour),Being alone versus being with others,Having access to my phone,Feeling watched or monitored,Knowing someone knows where I am;;Disagree;Agree;Agree;Agree;Agree;Live location sharing (e.g., WhatsApp, Google Maps, Find My),Voice/video calling someone while walking;;2;;;;;;;1;;;;;Strongly disagree;Disagree;Neutral;Disagree;
R_87NGNfilqQeWqQ1;22–25;Woman;;Taiwanese;Asian;Asian or Asian descent;;;University of Amsterdam (UvA);;Master’s;;Information Systems;I moved to Amsterdam 3–5 years ago;Often, it’s usually somewhere in the back of my mind;Walking alone at night,Using public transport late at night,Walking through quiet or poorly lit areas,Cycling alone, especially after dark,Being in unfamiliar neighbourhoods,Being followed or feeling watched,Coming home alone late at night;;Choosing specific routes (e.g., busier streets, well-lit paths),Avoiding going out alone at certain times (e.g., late at night),Walking or cycling faster to get home sooner,Texting someone when I leave and/or when I get home,Calling or pretending to call someone while walking,Taking headphones out to be more aware of surroundings,Avoiding eye contact with strangers;;;The physical environment (lighting, open spaces, crowdedness),The time of day (e.g., night vs. rush hour),Having access to my phone,Feeling watched or monitored,Knowing someone knows where I am;;Agree;Agree;Neutral;Strongly agree;Agree;Live location sharing (e.g., WhatsApp, Google Maps, Find My),Texting someone when I get home,Group chats for checking in with friends,Voice/video calling someone while walking;;2;3;;;;4;;1;;;;;Agree;Strongly disagree;Agree;Agree;
R_8CPaOktzjrklyHo;22–25;Woman;;South Korean;Korean;Asian or Asian descent;;;University of Amsterdam (UvA);;Master’s;;Information Systems;I moved to Amsterdam 3–5 years ago;Sometimes, depending on the time or place;Walking alone at night,Walking through quiet or poorly lit areas,Waiting alone at a bus/tram/metro stop,Being in unfamiliar neighbourhoods,Being followed or feeling watched,Coming home alone late at night;;Choosing specific routes (e.g., busier streets, well-lit paths),Avoiding going out alone at certain times (e.g., late at night),Planning to travel with a friend or group;;;The physical environment (lighting, open spaces, crowdedness),The presence or absence of other people,The time of day (e.g., night vs. rush hour),Being alone versus being with others,Having access to my phone,Feeling watched or monitored;;Agree;Strongly agree;Agree;Neutral;Agree;Live location sharing (e.g., WhatsApp, Google Maps, Find My),Texting someone when I get home,Group chats for checking in with friends;;3;1;;;;2;;;;;;;Agree;Neutral;Neutral;Neutral;
