Code;;Groundedness;Density;Groups;Number of Groups;Comment;Creator;Creation Date;Modifier;Modification Date
○ access to available help as safety;;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ accessibility;;1;0;In vivo codes;1;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
○ actionable;;1;0;In vivo codes;1;;Kaylee Wu;5/24/2026;Kaylee Wu;5/24/2026
○ aesthetic-affective marking;;5;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
○ agency;;2;0;;0;;Kaylee Wu;5/15/2026;Kaylee Wu;5/15/2026
;○ escape as safety;2;0;;0;;Kaylee Wu;5/15/2026;Kaylee Wu;5/15/2026
○ aggressive behaviour as unsafe;;3;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Appearance;;3;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ Approachability;;3;0;In vivo codes;1;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
○ assumption;;128;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ app used only for safety;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ attackers face consequences;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ attention is acceptable cost;2;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ authority is available/reliable;1;0;;0;;Kaylee Wu;5/22/2026;Kaylee Wu;5/22/2026
;○ autonomy is dispensable;1;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ being alone creates need for solution;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
;○ bystanders will help;3;0;;0;;Kaylee Wu;5/16/2026;Kaylee Wu;5/16/2026
;○ community is nearby;1;0;;0;;Kaylee Wu;5/23/2026;Kaylee Wu;5/23/2026
