RecordedDate;Q2_1;Q2_2;Q2_3;Q3_1;Q3_2;Q3_3;Q4_1;Q4_2;Q5_1;Q5_2;Q6;Q7
Recorded Date;Reframing Safety: Rate the statements below - The safety mapping activity surfaced aspects of safety I hadn't considered before.;Reframing Safety: Rate the statements below - Examining the existing safety solutions made me more aware of the assumptions behind them.;"Reframing Safety: Rate the statements below - My understanding of what ""safety"" means shifted during the workshop.";Speculative Design Experience: Rate the statements below - Imagining a future scenario helped me think beyond current safety technologies.;Speculative Design Experience: Rate the statements below - The sketching and prototyping activities allowed me to express ideas that would have been hard to put into words alone.;Speculative Design Experience: Rate the statements below - The concepts our group created capture how I experience safety.;Participation and Voice: Rate the statements below - I felt comfortable sharing personal perspectives during the workshop.;Participation and Voice: Rate the statements below - The group discussions gave space for different viewpoints to shape the outcome.;Workshop Environment: Rate the statements below - The workshop felt like a space where I could be open about my experiences.;Workshop Environment: Rate the statements below - The structure of the activities helped me engage with the topic in a meaningful way.;Was there a moment during the workshop that stood out to you? What made it memorable?;What do you see as a limitation of this process, or what would you change?
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}";"{""ImportId"":""QID2_1""}";"{""ImportId"":""QID2_2""}";"{""ImportId"":""QID2_3""}";"{""ImportId"":""QID3_1""}";"{""ImportId"":""QID3_2""}";"{""ImportId"":""QID3_3""}";"{""ImportId"":""QID4_1""}";"{""ImportId"":""QID4_2""}";"{""ImportId"":""QID5_1""}";"{""ImportId"":""QID5_2""}";"{""ImportId"":""QID6_TEXT""}";"{""ImportId"":""QID7_TEXT""}"
2026-04-20 04:43:45;Strongly agree;Neither agree nor disagree;Disagree;Strongly agree;Agree;Neither agree nor disagree;Agree;Strongly agree;Strongly agree;Strongly agree;I liked the group participation;Sometimes I didn’t agree with the decision we made as a group, but I think that is just a part of group projects
2026-04-20 04:43:59;Strongly agree;Strongly agree;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;"When we worked together on creative ideas; when we talked about the app";There were only 4 of us (which was nice) but idk if representative of the female population here
2026-04-20 04:44:37;Neither agree nor disagree;Agree;Agree;Agree;Strongly agree;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Working together building our prototype felt like a light hearted and comforting way of talking about a rather scary and very real issue :);Nothing in particular
2026-04-20 04:45:12;Disagree;Agree;Neither agree nor disagree;Agree;Agree;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Sharing ideas for a possible product to make us feel more safe;I think more people need to think about these problems and more need to share their experiences and have someone actually producing results
2026-04-23 04:30:58;Neither agree nor disagree;Agree;Agree;Strongly agree;Agree;Agree;Strongly agree;Strongly agree;Strongly agree;Agree;I liked the moment when we mapped our own places and where we feel safe. It felt personal and it’s interesting to hear about other’s experiences.;We were with just two people, maybe if we were with more we would have more different perspectives :)
2026-04-23 04:31:12;Agree;Strongly agree;Agree;Agree;Neither agree nor disagree;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;I liked the part where we had to think about the assumptions underlying safety precautions. It shifted my perspective on how we undertake those precautions.;I feel like we didn’t touch the subject from an moral/ideological point of view. I understand that that wasn’t the goal for this research but I would’ve liked to talk more about education and long-term resolutions for safety.
2026-04-24 04:48:16;Agree;Agree;Neither agree nor disagree;Agree;Agree;Agree;Strongly agree;Agree;Strongly agree;Strongly agree;Drawing and e pressing myself though other means other than writing. At the beginning i had some difficulty in that as i was not used to it anymore. Also the sushi part!;It was really well organized, i don’t have any limitation coming up into my mind
2026-04-24 04:48:45;Agree;Strongly agree;Neither agree nor disagree;Agree;Strongly agree;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;I think the workshop surfaces many important points like “what is the threshold of danger to use or report these situations” or how current solutions put the burden on users, and does then solve the issues fundamentally. ;I think the workshop was pretty well organized and it brought out many different perspectives. The length was also good in the sense that it wasn’t too long. 
2026-04-24 04:50:32;Agree;Strongly agree;Agree;Strongly agree;Strongly agree;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;I really enjoyed the thematic clustering of our ideas of safety and the assumptions the already existing technology has. It felt powerful to see it so visually on the board and analyse which areas overlap and which are missed completely.;I think in the final prototyping we could have collaborated better between participants to really feel like we were working on the same “product”. Maybe it was because our idea was so broad everyone focused on a separate aspect of it 
2026-04-24 04:51:08;Strongly agree;Strongly agree;Neither agree nor disagree;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;I really enjoyed doing the sticky notes and how we assume things work. And then afterwards, placing them on the board;I wouldn’t change anything. I really liked how everything was done
2026-04-30 05:04:30;Agree;Agree;Agree;Agree;Disagree;Agree;Agree;Agree;Agree;Agree;I enjoyed the mind map and the moment when we all stepped back, as we could really visually see the big core themes that our many varying ideas were surrounding;I think maybe making more practical solutions during the end? Although fun to think of any solutions no matter how unrealistic and fantastical, it kind of emphasized how impossible a perfect solution is. Not sure how to fix that though.
2026-05-06 08:58:46;Agree;Agree;Neither agree nor disagree;Agree;Strongly agree;Agree;Agree;Strongly agree;Strongly agree;Agree;The creative part made it accessible and fun to share ;none.
2026-05-06 09:00:06;Agree;Strongly agree;Agree;Agree;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;It was fun! The group was very open and honest and it felt like a safe space to share whatever we wanted on this topic. ;I'm not so sure
2026-05-06 09:00:35;Agree;Strongly agree;Disagree;Agree;Agree;Strongly agree;Strongly agree;Strongly agree;Agree;Strongly agree;Thinking of a safety measurement beyond what actually possible;X
2026-05-06 09:01:38;Agree;Strongly agree;Agree;Agree;Agree;Agree;Strongly agree;Strongly agree;Strongly agree;Agree;I think it’s very fun activity to do together with other female cohorts and realised that we all somewhat share similar experiences ;I think the length of workshop is a bit too long tho
2026-05-06 09:04:11;Agree;Strongly agree;Neither agree nor disagree;Strongly agree;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;I thought writing down the themes was very interesting. I feel like we all share the same experiences and thoughts about safety.;Maybe it’s a bit long/lots of components in a short amount of time, but it is also hard to think of an alternative for this.
